athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
2052,7,CHON Jongwon,KOR,qualification,3T4z 7 8,11,2,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,qualification,3T4z 7 8,11,3,FALSE,1,FALSE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,qualification,3T4z 7 8,11,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,qualification,3T4z 7 8,11,5,FALSE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,semi-final,1T4z 2 6,7,1,FALSE,7,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,semi-final,1T4z 2 6,7,2,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,semi-final,1T4z 2 6,7,3,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,semi-final,1T4z 2 6,7,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,qualification,2T5z 3 6,13,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,qualification,2T5z 3 6,13,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,qualification,2T5z 3 6,13,3,FALSE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,qualification,2T5z 3 6,13,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,qualification,2T5z 3 6,13,5,FALSE,4,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,semi-final,1T4z 2 8,8,1,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,semi-final,1T4z 2 8,8,2,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,semi-final,1T4z 2 8,8,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1214,8,Schubert Jakob,AUT,semi-final,1T4z 2 8,8,4,FALSE,6,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,qualification,2T5z 4 10,19,1,TRUE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,qualification,2T5z 4 10,19,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,qualification,2T5z 4 10,19,3,FALSE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,qualification,2T5z 4 10,19,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,qualification,2T5z 4 10,19,5,FALSE,8,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,semi-final,1T3z 1 6,9,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,semi-final,1T3z 1 6,9,2,FALSE,3,FALSE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,semi-final,1T3z 1 6,9,3,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
688,9,Milne Maximillian,GBR,semi-final,1T3z 1 6,9,4,FALSE,4,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,qualification,4T5z 8 6,11,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,qualification,4T5z 8 6,11,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,qualification,4T5z 8 6,11,3,TRUE,4,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,qualification,4T5z 8 6,11,4,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,qualification,4T5z 8 6,11,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,semi-final,1T3z 1 6,9,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,semi-final,1T3z 1 6,9,2,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,semi-final,1T3z 1 6,9,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1138,9,Peharc Anze,SLO,semi-final,1T3z 1 6,9,4,FALSE,5,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
